Lap,Distance_km,Speed_kmh,Temperature_C,Pressure_PSI,Turning_Radius_m,Front_Left_Damage_%,Front_Right_Damage_%,Rear_Left_Damage_%,Rear_Right_Damage_%,Front_Left_Change,Front_Right_Change,Rear_Left_Change,Rear_Right_Change
1,1,272.30631091580915,94.38798877555531,22.848733416302306,38.74613479495029,79.86891191521508,52.432418001359856,10.678861289563702,76.00125656163837,1,0,0,1
1,2,182.1681061238881,92.6355315522811,22.961784764911506,47.656261238891986,42.43443898959948,63.42816081438477,35.66598357575257,71.42875159641038,0,0,0,0
1,3,294.1391354028486,104.62397480229458,22.00991094873007,37.33141891884925,98.58912271695301,2.1949750561406467,99.02475476619638,61.7662425119762,1,0,1,0
1,4,264.0183930558068,87.02165840293772,21.32769705557205,46.55288813699106,50.33554018498444,73.2902007152082,56.68221544062821,62.65923574927733,0,0,0,0
1,5,229.61553743306422,93.92038644099472,21.368239216100168,41.98313083138795,85.57821570202272,69.414990588366,40.90240307173224,47.75141381784154,1,0,0,0
1,6,201.33428568978258,85.60454963503925,22.97723548116003,48.614798727490324,58.14252148583577,59.82927673510942,57.98405699806493,75.32083910770952,0,0,0,1
1,7,288.0023048960778,99.16225577357784,21.92801906456469,36.48195800652768,68.14971955277693,99.71979241750607,75.69350463996335,64.96052503934145,0,1,1,0
1,8,261.7782229232085,94.59318565013334,21.852302858841764,49.778271272690674,57.67396960230396,53.69458825935798,10.866012264517622,84.04762512715294,0,0,0,1
2,1,195.2656513384864,98.30058449111093,22.590841253891018,35.78140112748027,47.896537095670666,86.79314965104574,8.155048423069623,0.6691572787983047,0,1,0,0
2,2,268.83834101143145,92.73397465675879,21.428901343549672,41.53501641847579,71.8152132719536,1.812445514396277,22.858483133979156,17.009402011543763,0,0,0,0
2,3,260.66482946189274,102.91951408571637,22.452606820256293,47.240264702838914,47.763455790901574,16.723245430995938,31.957240549475795,48.14432262658839,0,0,0,0
2,4,205.03287934828572,85.33186083025765,21.712802526072267,32.11273167916862,62.074421881511235,25.07877508051569,92.91216923048576,2.811427947764933,0,0,1,0
2,5,281.7040445917469,91.6651047597535,22.53644722801642,40.63609512039588,32.278244178323575,28.70043516844977,8.89411179804579,44.29093507919727,0,0,0,0
2,6,254.60723304308823,104.37305401589727,21.460162880592378,49.185856587543185,45.983761179653804,72.91475255767608,70.51726582232398,7.599924240095701,0,0,0,0
2,7,271.605505599901,86.63651817227662,22.080500570002137,31.70209522127554,24.055429669368998,62.262669446666365,67.21516835510029,36.966096038329646,0,0,0,0
2,8,195.611012763602,101.67781939312138,22.439672111367287,39.6000866882501,61.68809203868438,26.961397784795583,39.34723106807475,44.50057670550829,0,0,0,0
